wave_id,wave_name,mode_default,benchmark_spec,holdings_source,category,active,ticker_raw,ticker_normalized,created_at,updated_at
ai_cloud_megacap_wave,AI & Cloud MegaCap Wave,Standard,"QQQ:0.6000,IGV:0.4000",canonical,equity_growth,True,"NVDA,MSFT,GOOGL,META,AVGO,ADBE,AMD,CRM,ORCL,INTC","NVDA,MSFT,GOOGL,META,AVGO,ADBE,AMD,CRM,ORCL,INTC",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
clean_transit_infrastructure_wave,Clean Transit-Infrastructure Wave,Standard,"PAVE:0.6000,XLI:0.4000",canonical,equity_growth,True,"TSLA,RIVN,LCID,GM,F,PAVE,XLI,CAT,UNP,CHPT","TSLA,RIVN,LCID,GM,F,PAVE,XLI,CAT,UNP,CHPT",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_ai_growth_wave,Crypto AI Growth Wave,Standard,"TAO-USD:0.2500,RENDER-USD:0.2000,FET-USD:0.1800,ICP-USD:0.1500,OCEAN-USD:0.1200,AGIX-USD:0.1000",canonical,crypto_growth,True,"TAO-USD,RENDER-USD,FET-USD,ICP-USD,OCEAN-USD,AGIX-USD","TAO-USD,RENDER-USD,FET-USD,ICP-USD,OCEAN-USD,AGIX-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_broad_growth_wave,Crypto Broad Growth Wave,Standard,"BTC-USD:0.4500,ETH-USD:0.3000,BNB-USD:0.0800,XRP-USD:0.0800,SOL-USD:0.0500,ADA-USD:0.0400",canonical,crypto_growth,True,"BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,ADA-USD,AVAX-USD,DOT-USD","BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,ADA-USD,AVAX-USD,DOT-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_defi_growth_wave,Crypto DeFi Growth Wave,Standard,"UNI-USD:0.2500,AAVE-USD:0.2500,CAKE-USD:0.1500,CRV-USD:0.1200,INJ-USD:0.1000,SNX-USD:0.0800,COMP-USD:0.0500",canonical,crypto_growth,True,"UNI-USD,AAVE-USD,LINK-USD,MKR-USD,CRV-USD,INJ-USD,SNX-USD,COMP-USD","UNI-USD,AAVE-USD,LINK-USD,MKR-USD,CRV-USD,INJ-USD,SNX-USD,COMP-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_income_wave,Crypto Income Wave,Standard,"ETH-USD:0.3500,AAVE-USD:0.2000,UNI-USD:0.1500,LDO-USD:0.1000,stETH-USD:0.1000,MKR-USD:0.1000",canonical,crypto_income,True,"ETH-USD,stETH-USD,LDO-USD,AAVE-USD,MKR-USD,UNI-USD,CAKE-USD,CRV-USD","ETH-USD,stETH-USD,LDO-USD,AAVE-USD,MKR-USD,UNI-USD,CAKE-USD,CRV-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_l1_growth_wave,Crypto L1 Growth Wave,Standard,"ETH-USD:0.3000,SOL-USD:0.1500,AVAX-USD:0.1000,DOT-USD:0.1000,LINK-USD:0.1000,MATIC-USD:0.0800,ATOM-USD:0.0700,NEAR-USD:0.0500,APT-USD:0.0500",canonical,crypto_growth,True,"ETH-USD,SOL-USD,AVAX-USD,ADA-USD,DOT-USD,NEAR-USD,APT-USD,ATOM-USD","ETH-USD,SOL-USD,AVAX-USD,ADA-USD,DOT-USD,NEAR-USD,APT-USD,ATOM-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
crypto_l2_growth_wave,Crypto L2 Growth Wave,Standard,"MATIC-USD:0.3500,ARB-USD:0.2500,OP-USD:0.2000,IMX-USD:0.1200,MNT-USD:0.0500,STX-USD:0.0300",canonical,crypto_growth,True,"MATIC-USD,ARB-USD,OP-USD,IMX-USD,MNT-USD,STX-USD","MATIC-USD,ARB-USD,OP-USD,IMX-USD,MNT-USD,STX-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
demas_fund_wave,Demas Fund Wave,Standard,"SPY:0.6000,VTV:0.4000",canonical,equity_growth,True,"BRK-B,JPM,XOM,CVX,PG,KO,JNJ,UNH,WMT,VTV","BRK-B,JPM,XOM,CVX,PG,KO,JNJ,UNH,WMT,VTV",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
ev_infrastructure_wave,EV & Infrastructure Wave,Standard,"PAVE:0.6000,XLI:0.4000",canonical,equity_growth,True,"TSLA,NIO,GM,F,CAT,UNP,VMC,MLM,XLI,PAVE","TSLA,NIO,GM,F,CAT,UNP,VMC,MLM,XLI,PAVE",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
