wave_id,display_name,coverage_pct,history_days,stale_days_max,missing_tickers,stale_tickers
crypto_broad_growth_wave,Crypto Broad Growth Wave,100.0,10,0,,
gold_wave,Gold Wave,100.0,20,0,,
income_wave,Income Wave,100.0,20,0,,
sp500_wave,S&P 500 Wave,100.0,20,0,,
us_megacap_core_wave,US MegaCap Core Wave,100.0,10,0,,
ai_cloud_megacap_wave,AI & Cloud MegaCap Wave,0.0,0,0,"MSFT, ORCL, AVGO, META, ADBE, GOOGL, AMD, CRM, INTC, NVDA",
clean_transit_infrastructure_wave,Clean Transit-Infrastructure Wave,0.0,0,0,"UNP, LCID, CAT, F, XLI, CHPT, TSLA, GM, RIVN, PAVE",
crypto_ai_growth_wave,Crypto AI Growth Wave,0.0,0,0,"RENDER-USD, AGIX-USD, TAO-USD, FET-USD, OCEAN-USD, ICP-USD",
crypto_defi_growth_wave,Crypto DeFi Growth Wave,0.0,0,0,"CRV-USD, AAVE-USD, SNX-USD, LINK-USD, COMP-USD, UNI-USD, MKR-USD, INJ-USD",
crypto_income_wave,Crypto Income Wave,0.0,0,0,"CRV-USD, CAKE-USD, AAVE-USD, UNI-USD, stETH-USD, ETH-USD, LDO-USD, MKR-USD",
crypto_l1_growth_wave,Crypto L1 Growth Wave,0.0,0,0,"ATOM-USD, NEAR-USD, APT-USD, SOL-USD, ETH-USD, DOT-USD, AVAX-USD, ADA-USD",
crypto_l2_growth_wave,Crypto L2 Growth Wave,0.0,0,0,"MNT-USD, IMX-USD, MATIC-USD, OP-USD, ARB-USD, STX-USD",
demas_fund_wave,Demas Fund Wave,0.0,0,0,"JNJ, UNH, VTV, XOM, CVX, KO, BRK-B, JPM, PG, WMT",
ev_infrastructure_wave,EV & Infrastructure Wave,0.0,0,0,"UNP, VMC, CAT, NIO, F, XLI, TSLA, GM, PAVE, MLM",
future_energy_ev_wave,Future Energy & EV Wave,0.0,0,0,"XLE, BP, ENPH, NEE, PLUG, TSLA, CVX, ICLN, RUN, FSLR",
future_power_energy_wave,Future Power & Energy Wave,0.0,0,0,"XLE, ENPH, NEE, BE, SEDG, TAN, PLUG, ICLN, RUN, FSLR",
infinity_multi_asset_growth_wave,Infinity Multi-Asset Growth Wave,0.0,0,0,"IWO, BTC-USD, SPY, ETH-USD, PAVE, VGT, QQQ, ICLN, SMH",
next_gen_compute_semis_wave,Next-Gen Compute & Semis Wave,0.0,0,0,"MSFT, IBM, SNOW, QCOM, ADBE, GOOGL, AMZN, INTC, TSM, NVDA",
quantum_computing_wave,Quantum Computing Wave,0.0,0,0,"MSFT, IBM, RGTI, IONQ, GOOGL, QBTS, AMD, NVDA",
russell_3000_wave,Russell 3000 Wave,0.0,0,0,IWV,
small_cap_growth_wave,Small Cap Growth Wave,0.0,0,0,"IWO, VBK, VTWO, IJH",
small_to_mid_cap_growth_wave,Small to Mid Cap Growth Wave,0.0,0,0,"IWO, IJH, IWP, VBK, MDY",
smartsafe_tax_free_money_market_wave,SmartSafe Tax-Free Money Market Wave,0.0,0,0,"SHM, SUB, MUB",
smartsafe_treasury_cash_wave,SmartSafe Treasury Cash Wave,0.0,0,0,"BIL, SGOV",
us_mid_small_growth_semis_wave,US Mid/Small Growth & Semis Wave,0.0,0,0,"IWO, MDY, SMH, IWP",
us_small_cap_disruptors_wave,US Small-Cap Disruptors Wave,0.0,0,0,"IWO, DDOG, ARKK, ZS, VBK, NET",
vector_muni_ladder_wave,Vector Muni Ladder Wave,0.0,0,0,"SHM, HYD, SUB, TFI, MUB",
vector_treasury_ladder_wave,Vector Treasury Ladder Wave,0.0,0,0,"TLT, IEF, LQD, SHY, BIL",
