wave_id,wave_name,readiness,reason_category,failing_tickers,coverage_pct,required_window_days,available_window_days,start_date,end_date,suggested_fix
gold_wave,Gold Wave,READY,READY,,100.0,365,25,2025-12-01,2025-12-26,No action needed - wave is ready
income_wave,Income Wave,READY,READY,,100.0,365,25,2025-12-01,2025-12-26,No action needed - wave is ready
sp500_wave,S&P 500 Wave,READY,READY,,100.0,365,25,2025-12-01,2025-12-26,No action needed - wave is ready
ai_cloud_megacap_wave,AI & Cloud MegaCap Wave,NOT_READY,MISSING_PRICES,"AVGO, META, INTC, MSFT, NVDA, CRM, GOOGL, ORCL, ADBE, AMD",0.0,365,0,,,"Fetch missing price data for: AVGO, META, INTC (+7 more). Run analytics pipeline to populate data."
clean_transit_infrastructure_wave,Clean Transit-Infrastructure Wave,NOT_READY,MISSING_PRICES,"F, UNP, GM, CAT, PAVE, LCID, TSLA, CHPT, RIVN, XLI",0.0,365,0,,,"Fetch missing price data for: F, UNP, GM (+7 more). Run analytics pipeline to populate data."
crypto_ai_growth_wave,Crypto AI Growth Wave,NOT_READY,MISSING_PRICES,"ICP-USD, FET-USD, OCEAN-USD, AGIX-USD, RENDER-USD, TAO-USD",0.0,365,0,,,"Fetch missing price data for: ICP-USD, FET-USD, OCEAN-USD (+3 more). Run analytics pipeline to populate data."
crypto_broad_growth_wave,Crypto Broad Growth Wave,NOT_READY,MISSING_PRICES,"XRP-USD, BNB-USD, BTC-USD, ETH-USD, SOL-USD, DOT-USD, ADA-USD, AVAX-USD",0.0,365,0,,,"Fetch missing price data for: XRP-USD, BNB-USD, BTC-USD (+5 more). Run analytics pipeline to populate data."
crypto_defi_growth_wave,Crypto DeFi Growth Wave,NOT_READY,MISSING_PRICES,"INJ-USD, COMP-USD, LINK-USD, SNX-USD, CRV-USD, UNI-USD, MKR-USD, AAVE-USD",0.0,365,0,,,"Fetch missing price data for: INJ-USD, COMP-USD, LINK-USD (+5 more). Run analytics pipeline to populate data."
crypto_income_wave,Crypto Income Wave,NOT_READY,MISSING_PRICES,"CAKE-USD, ETH-USD, CRV-USD, UNI-USD, MKR-USD, stETH-USD, LDO-USD, AAVE-USD",0.0,365,0,,,"Fetch missing price data for: CAKE-USD, ETH-USD, CRV-USD (+5 more). Run analytics pipeline to populate data."
crypto_l1_growth_wave,Crypto L1 Growth Wave,NOT_READY,MISSING_PRICES,"ETH-USD, SOL-USD, DOT-USD, ADA-USD, APT-USD, AVAX-USD, NEAR-USD, ATOM-USD",0.0,365,0,,,"Fetch missing price data for: ETH-USD, SOL-USD, DOT-USD (+5 more). Run analytics pipeline to populate data."
crypto_l2_growth_wave,Crypto L2 Growth Wave,NOT_READY,MISSING_PRICES,"STX-USD, MATIC-USD, ARB-USD, OP-USD, IMX-USD, MNT-USD",0.0,365,0,,,"Fetch missing price data for: STX-USD, MATIC-USD, ARB-USD (+3 more). Run analytics pipeline to populate data."
demas_fund_wave,Demas Fund Wave,NOT_READY,MISSING_PRICES,"KO, BRK-B, WMT, CVX, JNJ, UNH, VTV, JPM, PG, XOM",0.0,365,0,,,"Fetch missing price data for: KO, BRK-B, WMT (+7 more). Run analytics pipeline to populate data."
ev_infrastructure_wave,EV & Infrastructure Wave,NOT_READY,MISSING_PRICES,"F, NIO, UNP, GM, CAT, PAVE, VMC, MLM, TSLA, XLI",0.0,365,0,,,"Fetch missing price data for: F, NIO, UNP (+7 more). Run analytics pipeline to populate data."
future_energy_ev_wave,Future Energy & EV Wave,NOT_READY,MISSING_PRICES,"PLUG, RUN, CVX, ENPH, FSLR, ICLN, BP, NEE, TSLA, XLE",0.0,365,0,,,"Fetch missing price data for: PLUG, RUN, CVX (+7 more). Run analytics pipeline to populate data."
future_power_energy_wave,Future Power & Energy Wave,NOT_READY,MISSING_PRICES,"TAN, PLUG, RUN, SEDG, ENPH, FSLR, ICLN, BE, NEE, XLE",0.0,365,0,,,"Fetch missing price data for: TAN, PLUG, RUN (+7 more). Run analytics pipeline to populate data."
infinity_multi_asset_growth_wave,Infinity Multi-Asset Growth Wave,NOT_READY,MISSING_PRICES,"IWO, BTC-USD, ETH-USD, SPY, PAVE, SMH, ICLN, VGT, QQQ",0.0,365,0,,,"Fetch missing price data for: IWO, BTC-USD, ETH-USD (+6 more). Run analytics pipeline to populate data."
next_gen_compute_semis_wave,Next-Gen Compute & Semis Wave,NOT_READY,MISSING_PRICES,"INTC, MSFT, NVDA, TSM, IBM, GOOGL, AMZN, QCOM, ADBE, SNOW",0.0,365,0,,,"Fetch missing price data for: INTC, MSFT, NVDA (+7 more). Run analytics pipeline to populate data."
quantum_computing_wave,Quantum Computing Wave,NOT_READY,MISSING_PRICES,"RGTI, MSFT, NVDA, IBM, GOOGL, IONQ, QBTS, AMD",0.0,365,0,,,"Fetch missing price data for: RGTI, MSFT, NVDA (+5 more). Run analytics pipeline to populate data."
russell_3000_wave,Russell 3000 Wave,NOT_READY,MISSING_PRICES,IWV,0.0,365,0,,,Fetch missing price data for: IWV. Run analytics pipeline to populate data.
small_cap_growth_wave,Small Cap Growth Wave,NOT_READY,MISSING_PRICES,"IWO, VTWO, IJH, VBK",0.0,365,0,,,"Fetch missing price data for: IWO, VTWO, IJH (+1 more). Run analytics pipeline to populate data."
